Source,Target,Weight
rickygervais,like,4
rickygervais,Harvey,7
rickygervais,Weinstein,5
rickygervais,HarveyWeinstein,10
rickygervais,MeToo,10
rickygervais,https,5
rickygervais,metoo,4
rickygervais,de,4
rickygervais,q,4
people,acting,6
people,like,24
people,see,5
people,thing,5
people,working,4
people,Harvey,30
people,Weinstein,31
people,HarveyWeinstein,17
people,MeToo,31
people,Gervais,4
people,movie,5
people,called,5
people,https,17
people,one,4
people,many,4
people,HollywoodHypocrites,4
people,support,4
people,movement,8
people,sexual,5
people,rape,4
people,2,4
people,trial,10
people,jury,4
people,I,4
people,assault,4
people,metoo,7
people,know,6
people,Metoomovement,4
people,lot,5
people,info,4
people,referendum,4
survived,like,4
acting,people,6
acting,like,9
acting,see,4
acting,thing,4
acting,Harvey,7
acting,Weinstein,6
acting,HarveyWeinstein,5
acting,MeToo,7
like,rickygervais,4
like,people,24
like,survived,4
like,acting,9
like,see,17
like,thing,11
like,working,10
like,Harvey,47
like,Weinstein,44
like,HarveyWeinstein,36
like,MeToo,56
like,Oprah,4
like,Ricky,5
like,Gervais,8
like,movie,14
like,called,4
like,film,4
like,survive,6
like,Sort,4
like,https,31
like,GoldenGlobes,5
like,next,6
like,presenter,6
like,starred,6
like,Bird,6
like,Box,6
like,RickyGervais,6
like,rape,4
like,case,5
like,trial,7
like,justice,5
like,Just,4
like,one,4
like,jail,4
like,men,6
like,The,6
like,metoo,14
like,movement,5
like,woman,4
like,women,17
like,time,5
like,harveyweinsteintrial,4
like,help,4
like,need,6
like,cases,4
like,court,8
like,walking,4
like,others,4
like,victims,7
like,charges,4
like,know,10
like,RonanFarrow,4
like,would,9
like,sexual,7
like,You,7
like,old,5
like,man,7
like,I,25
like,make,5
like,get,8
like,hope,5
like,It,4
like,think,4
like,Hollywood,6
like,forget,4
like,Zelda,4
like,We,5
like,Right,4
like,HollywoodHypocrites,5
like,This,5
like,Netflix,4
like,sort,4
like,Metoomovement,5
like,day,4
like,many,6
see,people,5
see,acting,4
see,like,17
see,thing,5
see,working,5
see,Harvey,22
see,Weinstein,23
see,HarveyWeinstein,15
see,MeToo,30
see,movie,7
see,https,11
see,day,4
see,trial,15
see,New,5
see,York,5
see,movement,7
see,justice,9
see,women,9
see,today,5
see,man,5
see,I,19
see,hope,6
see,way,4
see,court,8
see,charges,4
see,sex,4
see,We,5
see,sexual,4
see,metoo,6
see,rape,4
thing,people,5
thing,acting,4
thing,like,11
thing,see,5
thing,working,4
thing,Harvey,17
thing,Weinstein,18
thing,HarveyWeinstein,8
thing,MeToo,16
thing,movie,5
thing,https,5
thing,metoo,6
thing,I,5
thing,movement,5
thing,would,5
kind,Harvey,4
kind,Weinstein,4
kind,MeToo,4
kind,wrong,4
kind,men,4
kind,accused,4
working,people,4
working,like,10
working,see,5
working,thing,4
working,Harvey,11
working,Weinstein,9
working,HarveyWeinstein,4
working,MeToo,9
working,movie,4
Harvey,rickygervais,7
Harvey,people,30
Harvey,acting,7
Harvey,like,47
Harvey,see,22
Harvey,thing,17
Harvey,kind,4
Harvey,working,11
Harvey,Weinstein,1800
Harvey,HarveyWeinstein,86
Harvey,MeToo,1419
Harvey,Oprah,15
Harvey,left,4
Harvey,Ricky,10
Harvey,Gervais,13
Harvey,movie,61
Harvey,called,7
Harvey,anything,5
Harvey,More,21
Harvey,two,69
Harvey,years,78
Harvey,wave,13
Harvey,sexual,197
Harvey,assault,92
Harvey,allegations,50
Harvey,ushered,13
Harvey,movement,255
Harvey,disgraced,18
Harvey,mogul,60
Harvey,faces,45
Harvey,criminal,55
Harvey,trial,473
Harvey,could,34
Harvey,put,15
Harvey,behind,12
Harvey,bars,11
Harvey,rest,10
Harvey,life,23
Harvey,https,1104
Harvey,another,14
Harvey,reckoning,18
Harvey,Hollywood,124
Harvey,Tarantino,4
Harvey,entire,6
Harvey,career,10
Harvey,built,7
Harvey,metoo,164
Harvey,happened,7
Harvey,GoldenGlobes,6
Harvey,sexueller,8
Harvey,gegen,69
Harvey,vor,17
Harvey,mehr,8
Harvey,als,17
Harvey,zwei,11
Harvey,Jahren,4
Harvey,die,45
Harvey,aus,12
Harvey,Jetzt,4
Harvey,beginnt,24
Harvey,New,217
Harvey,York,221
Harvey,der,61
Harvey,Prozess,38
Harvey,den,21
Harvey,start,39
Harvey,today,65
Harvey,The,177
Harvey,whose,12
Harvey,alleged,14
Harvey,actions,5
Harvey,helped,21
Harvey,implications,5
Harvey,go,21
Harvey,beyond,5
Harvey,legal,19
Harvey,via,122
Harvey,WSJ,4
Harvey,film,18
Harvey,Thank,5
Harvey,arrives,14
Harvey,day,36
Harvey,one,74
Harvey,next,9
Harvey,la,125
Harvey,feministas,4
Harvey,el,201
Harvey,RickyGervais,6
Harvey,For,60
Harvey,would,35
Harvey,big,6
Harvey,deal,5
Harvey,end,7
Harvey,story,13
Harvey,We,20
Harvey,still,12
Harvey,need,15
Harvey,change,10
Harvey,I,108
Harvey,want,9
Harvey,victims,28
Harvey,know,33
Harvey,may,13
Harvey,mean,11
Harvey,crime,16
Harvey,charged,35
Harvey,sex,75
Harvey,crimes,51
Harvey,Los,84
Harvey,Angeles,72
Harvey,counts,11
Harvey,rape,176
Harvey,case,106
Harvey,Disgraced,22
Harvey,heckled,19
Harvey,kickoff,18
Harvey,If,13
Harvey,justice,38
Harvey,hashtag,7
Harvey,nothing,8
Harvey,Just,5
Harvey,statement,4
Harvey,No,10
Harvey,In,103
Harvey,landmark,45
Harvey,moment,39
Harvey,100,9
Harvey,Women,24
Harvey,Justice,10
Harvey,RonanFarrow,8
Harvey,TimesUp,39
Harvey,It,33
Harvey,Up,8
Harvey,That,5
Harvey,Ronan,78
Harvey,Farrow,79
Harvey,stop,8
Harvey,harassment,22
Harvey,state,9
Harvey,Here,21
Harvey,stands,10
Harvey,BREAKING,5
Harvey,charges,82
Harvey,Prosecutors,4
Harvey,LA,22
Harvey,raping,9
Harvey,woman,24
Harvey,sexually,21
Harvey,assaulting,11
Harvey,2013,18
Harvey,He,30
Harvey,currently,4
Harvey,separate,7
Harvey,Jury,18
Harvey,selection,29
Harvey,begins,82
Harvey,tomorrow,4
Harvey,former,22
Harvey,pattern,7
Harvey,abuse,19
Harvey,fueled,6
Harvey,Monday,19
Harvey,women,129
Harvey,District,4
Harvey,Attorney,9
Harvey,trying,8
Harvey,get,30
Harvey,sympathy,10
Harvey,going,20
Harvey,court,98
Harvey,Not,20
Harvey,na,7
Harvey,jury,56
Harvey,Movement,71
Harvey,strong,5
Harvey,HollywoodHypocrites,4
Harvey,You,16
Harvey,GoldenGIobes,4
Harvey,sexualharassment,6
Harvey,face,38
Harvey,le,65
Harvey,Metoo,36
Harvey,Manhattan,58
Harvey,even,20
Harvey,Is,137
Harvey,predatory,7
Harvey,including,11
Harvey,expect,4
Harvey,test,8
Harvey,power,13
Harvey,hit,5
Harvey,new,37
Harvey,week,24
Harvey,assaulted,10
Harvey,used,13
Harvey,standing,4
Harvey,arrived,9
Harvey,hearing,4
Harvey,City,15
Harvey,walker,33
Harvey,first,27
Harvey,Iran,4
Harvey,Well,4
Harvey,Donald,4
Harvey,Trump,7
Harvey,On,28
Harvey,Sex,47
Harvey,Crimes,45
Harvey,Charges,8
Harvey,indicted,15
Harvey,opened,4
Harvey,kicking,4
Harvey,key,4
Harvey,After,13
Harvey,decades,6
Harvey,judge,41
Harvey,Epstein,17
Harvey,Remember,5
Harvey,made,12
Harvey,casting,5
Harvey,couch,4
Harvey,begin,14
Harvey,This,30
Harvey,file,5
Harvey,jail,35
Harvey,time,20
Harvey,Today,14
Harvey,monster,5
Harvey,literally,4
Harvey,later,4
Harvey,walking,10
Harvey,80,20
Harvey,came,17
Harvey,forward,20
Harvey,Two,10
Harvey,1,11
Harvey,accused,40
Harvey,rapists,6
Harvey,prison,24
Harvey,watching,5
Harvey,A,72
Harvey,good,5
Harvey,survivors,20
Harvey,violence,7
Harvey,AP,5
Harvey,take,10
Harvey,With,9
Harvey,every,13
Harvey,use,5
Harvey,She,239
Harvey,must,7
Harvey,men,54
Harvey,considered,4
Harvey,major,5
Harvey,stand,13
Harvey,beginning,4
Harvey,Rapist,10
Harvey,Trial,168
Harvey,rapist,15
Harvey,since,25
Harvey,widespread,5
Harvey,public,17
Harvey,attention,7
Harvey,catalyzed,5
Harvey,set,15
Harvey,underway,11
Harvey,trail,6
Harvey,All,4
Harvey,eyes,6
Harvey,Will,14
Harvey,courts,4
Harvey,began,19
Harvey,guilty,11
Harvey,FirstThem,5
Harvey,As,41
Harvey,heads,9
Harvey,back,20
Harvey,jodikantor,5
Harvey,misconduct,24
Harvey,goes,8
Harvey,forget,5
Harvey,TaranaBurke,4
Harvey,started,14
Harvey,While,4
Harvey,others,6
Harvey,significant,5
Harvey,press,6
Harvey,took,6
Harvey,many,23
Harvey,wondering,5
Harvey,thoughts,6
Harvey,starts,10
Harvey,read,10
Harvey,interview,6
Harvey,wrote,4
Harvey,NYC,18
Harvey,brave,7
Harvey,come,12
Harvey,hope,10
Harvey,culture,5
Harvey,changed,13
Harvey,Because,4
Harvey,SilenceBreakers,5
Harvey,stories,4
Harvey,finally,14
Harvey,And,15
Harvey,world,9
Harvey,bestinaus,4
Harvey,producer,31
Harvey,wants,4
Harvey,harveyweinstein,12
Harvey,hollywood,15
Harvey,entertainment,7
Harvey,Bill,19
Harvey,Clinton,10
Harvey,away,7
Harvey,Charged,8
Harvey,Sexual,14
Harvey,Assault,13
Harvey,bring,5
Harvey,rosemcgowan,6
Harvey,careers,4
Harvey,facing,8
Harvey,say,19
Harvey,place,8
Harvey,hotel,7
Harvey,comes,5
Harvey,WeinsteinTrial,16
Harvey,NY,18
Harvey,predator,12
Harvey,Who,8
Harvey,let,8
Harvey,speak,5
Harvey,old,12
Harvey,man,36
Harvey,spoke,5
Harvey,fuck,5
Harvey,innocent,5
Harvey,lying,4
Harvey,Can,6
Harvey,system,8
Harvey,gone,5
Harvey,far,10
Harvey,fake,4
Harvey,watch,4
Harvey,part,5
Harvey,right,13
Harvey,talk,4
Harvey,actresses,4
Harvey,CNBC,6
Harvey,light,5
Harvey,coming,4
Harvey,ca,16
Harvey,Did,5
Harvey,Does,5
Harvey,anyone,6
Harvey,think,15
Harvey,frame,6
Harvey,Court,22
Harvey,walks,4
Harvey,around,9
Harvey,Donna,29
Harvey,Rotunno,33
Harvey,defense,9
Harvey,lawyer,36
Harvey,tells,16
Harvey,convicted,5
Harvey,held,8
Harvey,accountable,10
Harvey,fucking,5
Harvey,Finally,4
Harvey,2,25
Harvey,using,47
Harvey,talking,5
Harvey,Canadian,4
Harvey,Listen,4
Harvey,met,9
Harvey,celebrity,11
Harvey,accusers,31
Harvey,Rosanna,6
Harvey,Arquette,7
Harvey,fuel,7
Harvey,wake,9
Harvey,From,17
Harvey,Accusers,7
Harvey,Heads,42
Harvey,To,48
Harvey,Landmark,41
Harvey,Good,5
Harvey,Times,33
Harvey,reporting,6
Harvey,What,94
Harvey,holds,7
Harvey,date,9
Harvey,YouTube,13
Harvey,Oh,5
Harvey,look,14
Harvey,spark,5
Harvey,courthouse,10
Harvey,hold,5
Harvey,conference,4
Harvey,outside,18
Harvey,3,4
Harvey,says,25
Harvey,Gather,6
Harvey,Outside,11
Harvey,Courthouse,7
Harvey,Put,7
Harvey,News,29
Harvey,HollyWoodSexCrimes,4
Harvey,January,11
Harvey,6,10
Harvey,powerful,31
Harvey,WomensRights,4
Harvey,opening,5
Harvey,open,18
Harvey,5,9
Harvey,piece,4
Harvey,shit,4
Harvey,launch,5
Harvey,State,4
Harvey,morning,5
Harvey,fallen,5
Harvey,brought,6
Harvey,NYTimes,6
Harvey,USA,5
Harvey,au,21
Harvey,tribunal,11
Harvey,ce,18
Harvey,lundi,17
Harvey,Faces,8
Harvey,Life,14
Harvey,Prison,6
Harvey,His,9
Harvey,Test,6
Harvey,Rape,14
Harvey,Via,6
Harvey,2020,12
Harvey,4,10
Harvey,County,8
Harvey,faced,5
Harvey,support,10
Harvey,National,4
Harvey,NPR,11
Harvey,claims,4
Harvey,work,13
Harvey,important,4
Harvey,opinion,4
Harvey,live,5
Harvey,person,9
Harvey,Fake,4
Harvey,Lawyer,128
Harvey,best,4
Harvey,straight,4
Harvey,Sign,4
Harvey,But,10
Harvey,seen,7
Harvey,Tuesday,4
Harvey,year,7
Harvey,mob,7
Harvey,said,12
Harvey,passed,6
Harvey,triggered,9
Harvey,accusations,22
Harvey,spread,6
Harvey,7NEWS,7
Harvey,prevent,9
Harvey,getting,11
Harvey,fair,11
Harvey,So,14
Harvey,courtroom,8
Harvey,Kelly,4
Harvey,needs,7
Harvey,30,4
Harvey,experts,4
Harvey,performance,4
Harvey,Now,13
Harvey,Metoomovement,10
Harvey,Reckoning,11
Harvey,Years,4
Harvey,Fallen,4
Harvey,room,10
Harvey,second,5
Harvey,GregDonohue,4
Harvey,last,8
Harvey,well,10
Harvey,white,13
Harvey,Maybe,4
Harvey,friends,6
Harvey,gets,15
Harvey,way,12
Harvey,Judge,49
