Id,Label,Weight
tweet,tweet,3
rickygervais,rickygervais,15
people,people,42
survived,survived,3
acting,acting,10
like,like,79
see,see,38
thing,thing,25
kind,kind,4
working,working,13
Harvey,Harvey,1696
Weinstein,Weinstein,1875
HarveyWeinstein,HarveyWeinstein,695
goldenglobes,goldenglobes,4
goldenglobes2020,goldenglobes2020,14
MeToo,MeToo,1947
Oprah,Oprah,27
NoMeansNo,NoMeansNo,2
left,left,6
gem,gem,1
list,list,4
Truth,Truth,1
Power,Power,2
category,category,2
Ricky,Ricky,10
Gervais,Gervais,14
movie,movie,65
called,called,17
pretend,pretend,3
anything,anything,10
Kinda,Kinda,1
audience,audience,4
gasp,gasp,1
More,More,27
two,two,84
years,years,91
wave,wave,16
sexual,sexual,256
assault,assault,119
allegations,allegations,58
ushered,ushered,14
movement,movement,300
disgraced,disgraced,24
mogul,mogul,64
faces,faces,56
criminal,criminal,68
trial,trial,553
could,could,42
put,put,22
behind,behind,15
bars,bars,13
rest,rest,13
life,life,33
https,https,1447
another,another,20
reckoning,reckoning,20
mention,mention,3
Hollywood,Hollywood,162
forgetting,forgetting,1
Quentin,Quentin,3
Tarantino,Tarantino,6
admitted,admitted,4
enabling,enabling,4
entire,entire,9
career,career,15
built,built,8
metoo,metoo,263
happened,happened,8
GoldenGlobes,GoldenGlobes,23
Still,Still,2
brilliant,brilliant,1
actress,actress,6
tho,tho,2
Frida,Frida,1
ca,ca,21
miss,miss,2
And,And,29
DVD,DVD,3
bonus,bonus,1
features,features,1
rare,rare,1
treat,treat,3
Plus,Plus,3
creepy,creepy,2
sleazy,sleazy,3
letch,letch,1
aka,aka,7
rapist,rapist,28
fulfill,fulfill,1
creative,creative,2
ambition,ambition,1
getting,getting,16
made,made,16
All,All,11
reason,reason,7
support,support,20
Deux,Deux,18
ans,ans,28
le,le,111
New,New,258
York,York,267
Le,Le,45
commence,commence,3
est,est,16
de,de,443
et,et,38
multiples,multiples,8
agressions,agressions,16
sexuelles,sexuelles,23
On,On,37
revient,revient,2
sur,sur,17
ce,ce,24
scandale,scandale,3
du,du,63
mouvement,mouvement,33
dans,dans,9
journal,journal,1
6h,6h,1
infoviva,infoviva,1
Massive,Massive,4
sexueller,sexueller,9
gegen,gegen,70
vor,vor,22
mehr,mehr,8
als,als,19
zwei,zwei,13
Jahren,Jahren,5
die,die,54
aus,aus,14
Jetzt,Jetzt,5
beginnt,beginnt,25
der,der,65
Prozess,Prozess,43
den,den,24
GoldenGIobes,GoldenGIobes,13
mondaythoughts,mondaythoughts,7
Epiphany,Epiphany,2
NewMutants,NewMutants,1
AustralianBushfire,AustralianBushfire,4
harveyweinstein,harveyweinstein,55
newyorker,newyorker,1
nyc,nyc,3
weinstein,weinstein,21
losangeles,losangeles,3
LA,LA,30
sexualassault,sexualassault,13
hollywood,hollywood,23
ronanfarrow,ronanfarrow,1
even,even,23
better,better,8
go,go,34
join,join,4
bestie,bestie,1
HollywoodHypocrites,HollywoodHypocrites,23
president,president,4
start,start,47
today,today,104
The,The,235
whose,whose,13
alleged,alleged,19
actions,actions,6
helped,helped,23
spawn,spawn,2
cultural,cultural,5
implications,implications,5
beyond,beyond,6
legal,legal,25
ones,ones,2
via,via,143
WSJ,WSJ,4
Metoomovement,Metoomovement,25
DonaldTrump,DonaldTrump,7
ar,ar,1
Criminals,Criminals,1
SexualPredators,SexualPredators,2
LockHimUp,LockHimUp,7
NoWarWithIran,NoWarWithIran,1
Prosecutors,Prosecutors,6
say,say,29
forced,forced,6
way,way,21
woman,woman,34
hotel,hotel,6
room,room,10
raped,raped,17
sexually,sexually,31
assaulted,assaulted,12
next,next,12
day,day,68
GOING,GOING,1
DOWN,DOWN,1
SOMEWHERE,SOMEWHERE,1
FILTHY,FILTHY,1
PERVERT,PERVERT,1
introduced,introduced,1
clip,clip,1
film,film,25
Birdbox,Birdbox,1
describing,describing,1
survive,survive,4
Sort,Sort,3
Yes,Yes,5
tell,tell,8
Thank,Thank,14
God,God,4
mother,mother,1
protestor,protestor,1
shouts,shouts,1
arrives,arrives,17
one,one,91
lawyer,lawyer,43
representing,representing,7
Evans,Evans,2
activists,activists,5
complained,complained,1
publicly,publicly,7
Vance,Vance,5
office,office,7
allowing,allowing,1
evade,evade,2
With,With,11
Eeeeeeeeeeeeewwwwwwwwwww,Eeeeeeeeeeeeewwwwwwwwwww,1
Heads,Heads,46
To,To,55
Trial,Trial,179
For,For,67
Sex,Sex,51
Crimes,Crimes,48
In,In,112
A,A,96
ignite,ignite,2
many,many,36
supporters,supporters,2
going,going,30
waiting,waiting,2
justice,justice,63
system,system,12
deliver,deliver,4
women,women,217
former,former,27
pattern,pattern,8
abuse,abuse,29
fueled,fueled,9
charged,charged,51
Los,Los,94
Angeles,Angeles,81
Monday,Monday,23
assaulting,assaulting,18
according,according,4
district,district,1
feels,feels,3
everyone,everyone,7
forgotten,forgotten,5
work,work,23
done,done,8
movies,movies,4
directed,directed,2
